Tweet,Message,Match,Polarity
56,Today we announced our partnership w bcit amp BCGovNews on the development of one of Canada's first training progr ,NONE,neutral
57, RiaydeAli If he doesn't want to confront Trump then he shouldn't go behind his back either. It's only going to pi ,NONE,neutral
58,"RT CBCEdmonton Women in Alberta more at risk of being murdered by their partners, data shows ",risk,negative
59, CHogarthPC what is the provincial government doing to address the shortcomings of the Ontario climate change plan ,shortcomings,negative
60,RT waultur Who can hook me up with the Germany mogul master I just bought the Canada one,master,positive
61,RT MerlinofCanada Auditor general's report finds Ontario not using 'sound evidence' in climate change plan fordnation government's envi ,NONE,neutral
62,Melania Trump wades into impeachment fight to defend teen son ,trump,positive
63,Investors who know these three strategies for CapitalGains in Canada on investments can profit nicely. ,NONE,neutral
64," rodden debra ulcerative JustinTrudeau NATO It is true, under Trump countries cannot rely on the US to dig itsel ",trump,positive
65,Be aware that the superficial loss rule regarding capital gains in Canada on investments can influence your earni ,"superficial,loss",negative
66,New Canadian archival documents obtained by DeSmog and the Climate Investigations Center add to our understanding o ,NONE,neutral
67,RT globeandmail Calgary police officer charged after alleged threat to ruin person s reputation ,"threat,ruin",negative
68,"RT ezralevant Just like at the G7 meeting last year, Justin Trudeau was meek and obedient to Donald Trump when they were face to face. Bu ","like,trump",positive
69,Une famille d accueil de Campbellton a lev 28 enfants en 25 ans ,NONE,neutral
70, jnuppyy canada or Great Britain,great,positive
71,"See and hear, and taste the world this weekend at the Vermont International Festival, with performances, crafts ",NONE,neutral
72,"RT KTHopkins Vile by Trudeau. Mocking the Office of the President of the United States. This from a man who has blacked up, dressed up ","vile,mocking",negative
73,RT MrDash109 When Canadian media has to attack JustinTrudeau for simply reiterating to other world leaders how Trump surprised even his ,NONE,neutral
74, RTerriers JustinAlbaugh2 MattySm16821000 spydamanbearpig Adrienne711 HB04920973 D ThomasoPanthr ThomasFines ,NONE,neutral
75, GiantsGotNext i was gonna ask my parents for one but i checked the canadian site and they didn t have any. the ame ,NONE,neutral
76,"RT Enrique Cosp FernandCDV marin lore02 Buena t cnica para Europa o Canad quiz s. Pero en este pa s, putear contra el feminismo, cont ",NONE,neutral
77,"RT dockaurG This. I m not Christian, but I still enjoy the festiveness of the season, the spirit of giving, beautifully lit Christmas tre ","enjoy,beautifully",positive
78, pollyvinebag LMartinWashDC It's internationally embarrassing that this guy has been let out of Canada once again ,embarrassing,negative
79,"RT patbonin La d pendance au p trole plombe la cote de cr dit de l Alberta... Moody's downgrades Alberta's credit rating, citing continue ",NONE,neutral
80,RT KathyTGlobe The worst fears of the families and critics of foreign ownership come true. ...complaints ranging from neglect to phy ,"worst,fears,critics,neglect",negative
81,RT NotHenryFonda canada but just for dudes ,NONE,neutral
82, BreitbartNews They re working in Canada,NONE,neutral
83, ShaldowB Joebonic hellotorifletch How ever you want to see it. It still wasn t an attack. What part of Canada you live in ,NONE,neutral
84,RT RyanAFournier Top foreign donor to the Clinton Foundation Saudi Arabia Nope. England Nope. Germany Nope. Canada Nope. China ,top,positive
85,RT paulvieira House Speaker Pelosi is pushing to strip out sweeping legal protections for online content in the revised Nafta with Mexico ,sweeping,positive
86,"RT spectatorindex Best place to live and work, 2019. 1. Switzerland 2. Singapore 3. Canada 4. Spain 6. Australia 7. Turkey 8. Germany ",best,positive
87,RT simbongeeee ... ...jpg . ,NONE,neutral
88,"RT JustinTrudeau Canada will always be a strong partner amp contributor to NATO. At the Leaders Meeting in London, I announced we ll be ex ",strong,positive
89,RT PriceTellsItAll ezralevant manny ottawa The USA is Canada s greatest ally and friend. For our Prime Minister to be mocking President ,NONE,neutral
90,RT AAzrulhazizi sopan je orang canada masuk mall. ,NONE,neutral
91,Bonne nouvelle pour nos amis canadiens. Vous pouvez maintenant recevoir plus rapidement les livres de Commun fran a ,NONE,neutral
92, nikkisixsixsixx YES I KNOW RIGHT i m praying for Canada dates,right,positive
93, CanadianPM THE ONLY OPTION THE CANADA ONTARIO POLICE AND THE VATICAN CHURCH GAVE ME IS TO PANHANDLE THE WALFARE O ,NONE,neutral
94,"RT WCELaw Great news that the Skagit Valley ""Donut Hole"" will be protected from logging by BCgov Congrats to our friends and legalaid ",great,positive
95,RT MrStache9 Seriously blackface is trending BlackFaceTrudeau is trending TrudeauWorstPM is trending TwoFaced is trending TwoFaced ,NONE,neutral
96,RT himynameisjulz I got this sent from the Philippines all the way to me in Canada because how can I NOT get this exclusive cover Jughe ,NONE,neutral
97,"Oh, Canada ... You had a chance to get rid of the two faced hypocrite... Looks like We the People will be payin ",like,positive
98," SarahKSilverman I love JustinTrudeau even more, Canada needs a leader that isnt a little ""merica"" cronie. Yes ",love,positive
99,RT Deliriousred1 mog7546 He will probably declare war on Canada next.,NONE,neutral
100, spacer01 pptsapper A bunch of them ended up in what became Canada. Simcoe has a bunch of stuff named after him up here.,NONE,neutral
101,"RT Mippcivzla EnVivo Pdte. NicolasMaduro Aqu est n 151 delegadas y delegados de 38 pa ses, entre ellos Alemania, Argentina, Barbad ",NONE,neutral
102,RT CTVNews Toronto woman's 'Zombie Santa' stolen from front yard after neighbourhood spat ,stolen,negative
103,RT MARINE 99ZULU Canada s blackface talking smack about POTUS. What do you have to say to JustinTrudeau TwofacedTruduea ,smack,negative
104,RT Lowcountry1Girl Brutal Honesty President Trump Calls Justin Two Faced. Prissy Trudeau got called out on the fact Canada s not pay ,"honesty,trump",positive
105, DearAuntCrabby Keep in mind Trump loudly bad mouths Canada to the world several times and Trudeau stays clas ,NONE,neutral
106,The Uni of Toronto amp other universities in Canada have recognised if they are more open with letting their investig ,NONE,neutral
107,RT Mleeds2048 what it looks like when the President of the US amp the Prime Minister of Canada have a good working relationship. President ,"like,good",positive
108,JEOPARDY host AlexTrebek will be honored with an Icon Award in his native Canada Congrats Alex Jeopardy,"honored,award",positive
109, evaulted canada so far ima get the rest later,NONE,neutral
110,RT YvonneJJones Proud to see Ethel Blondin Andrew Honoured with McLeans Lifetime Achievement Award as the first Indigenous women elected ,"proud,achievement,award",positive
111,"RT dongpyul perdemos todas as noites d sono desde o dia 30 planejando isso e falando com fanbase, fechando acordo, cvs com gente da Corei ",NONE,neutral
112,RT CarmichaelKevin My initial take on the BoC decision ,NONE,neutral
113,"RT KTHopkins Vile by Trudeau. Mocking the Office of the President of the United States. This from a man who has blacked up, dressed up ","vile,mocking",negative
114,"RT FionaOdlum Join host SLangeneggerCBC for a Morning Edition live broadcast at the 19th annual ""Comfort amp Joy"" campaign in support of ",support,positive
115,RT energymendes shawn se volvi a canad a buscar algo... sino no se explica WelcomeShawnToArgentina,NONE,neutral
116,"RT CBCAlerts The non partisan group Democracy Watch is calling on the RCMP to investigate the firing of Alberta's election commissioner, ",partisan,negative
117,RT jennhoegg Unusually large group of coyotes devours Cape Breton hunter s apples SaltWire ,unusually,negative
118,"RT CBCOttawa UPDATE Photo radar delay came 'out of the blue,' says committee chair ottnews otttraffic ",delay,negative
119,RT capital exp Follow the lighting route along Confederation Boulevard. Monuments and sites will sparkle with multicolored lights in Can ,sparkle,positive
120,"RT OntHospitalAssn Less than a year in, a number of Ontario hospitals have taken up the challenge of becoming ChoosingWisely Hospital, ",NONE,neutral
121,RT GadSaad Don t you dare make an offensive joke in Canada Otherwise this is a country that supports freedom of speech except the thin ,NONE,neutral
122,This Is What Happens When You Try to Fight Systemic Racism in Canada ,racism,negative
123,RT MikeBarrettON AndrewScheer amp our CPC HQ team have a positive vision for a united Canada. Where no ambition is too big and where no ,positive,positive
124, tarayummy You have never been to Saskatchewan Canada them my girl it s all back here ,NONE,neutral
125, medpedshosp telegram Sci Hub scihub love aldorodrigo drchavez renal hswapnil I am not familiar with legislat ,love,positive
126," okJigu hahahahahahaha parece aquelas coisas de americano, que faz bala jujuba sabor pipoca tem no Canad tamb m ",NONE,neutral
127,RT NikkiHaley Every Presidential candidate should be pushing for the passage of the US Mexico Canada trade agreement. This effects Americ ,NONE,neutral
128,RT GaryRayBetz Y'all recall when right wing Republican commentator Rush Limbaugh called 12 year old Chelsea Clinton the White House dog ,right,positive
129,Putin desperately wants to get his hands on Canada. He has set up troll farms just to attack JustinTrudeau. Putin ,"desperately,attack",negative
130,"RT sxdoc Trump Slams Canada's 'Two Faced' Trudeau over Hot Mic Video at NATO Summit Trudeau Won t Spend 2 of GDP on Defense, But Expect ","trump,hot,won",positive
131,"Today was so good, I have to post twice As part 2 of our inquiries, students made Flipgrid responses to share and ",NONE,neutral
132,"RT WhiteHouse ""For almost a year, negotiations on the U.S. Mexico Canada Trade Agreement have been complete,"" Suzanne Crouch and Bruce Ke ",NONE,neutral
133,"RT JoyAnnReid To reiterate, world leaders heads of state of America's traditional allies Britain, France, Canada etc were literally ",NONE,neutral
134,"RT StanChoMPP From Israel to Canada, Guy Harlev owner of CafeLandwer is a shining example of a smallbusiness success story in On ",success,positive
135," CanadianPM DEAR THE UNITED STATES OF AMERICA , MY RIGHTS AS HUMAN BEINGS ,MY RIGHTS AS CANADIAN CITIZEN AND ALSO ",NONE,neutral
136,"RT OttawaFestivals Dec 4 Jan 7 A favourite returns starting next week, as ChristmasLightsAcrossCanada gets underway and runs until ",NONE,neutral
137,"RT chireillevlm Lui. C est un.Chef, un Vrai ",NONE,neutral
138,RT GustavoBolivar Salarios m nimos q gana un Congresista en UK 4.5 veces Francia 5 Canad 7.4 Australia 8 USA 13 Uruguay 18 Per 36 Col ,NONE,neutral
139,"RT KarQGames For the holidays, I'm sponsored by Twitch to giveaway these goodies To enter, you need to be following, RT reply alr ",NONE,neutral
140,RT timquerengesser This is what we get when we invest in cities actual economic growth outside the dominant resource economy. Edmonto ,NONE,neutral
141,Please don t disagree with Jagmeet because if you do you will be declared a racist and your career will be over welcome to the new Canada,"disagree,racist",negative
142,"RT JoyAnnReid To reiterate, world leaders heads of state of America's traditional allies Britain, France, Canada etc were literally ",NONE,neutral
143, gtconway3d When the Americans elect him in 2020 you can all move to Canada,NONE,neutral
144, JustGoos3 BenDove007 jtylerconway You're probably right. Even here in Canada it's difficult to get soccer covera ,difficult,negative
145,"RT KTHopkins Vile by Trudeau. Mocking the Office of the President of the United States. This from a man who has blacked up, dressed up ","vile,mocking",negative
146,Auditor general warns Travel Alberta to tighten cloud computing security ,cloud,negative
147,I just spent 15 mins trying to tell a Canada Drives person why I m not interested in a loan... sometimes I wish I was mean.,NONE,neutral
148,i literally never get the magazine s with harry cause they either never have it in canada or they dont ship here ,NONE,neutral
149,RT KathleenGanley The UCP is not contributing one new dollar. Rural residents will pay an additional 200 million in taxes. This provinc ,NONE,neutral
150,RT Rschooley Canada wins the It s a chair not a toilet sit off. ,wins,positive
151,I love Canada steak burger,love,positive
152,RT always george ,NONE,neutral
153,RT PaulDeCristofo4 Progressives on Monday criticized House Speaker Nancy Pelosi for leaving a popular bill boosting union membership whil ,NONE,neutral
154,"RT According2Luke Alberta already has far more ""school choice"" than any province in Canada and gives far more public funding to Private ",NONE,neutral
155,RT spectatorindex Increase in alcohol consumption since 2010. Vietnam 89 India 37 Japan 11 US 5.4 China 4.2 France 0.2 ,NONE,neutral
156,RT SkyeCity Number of people declared bankrupt due to medical bills each year Canada 0 France 0 The Netherlands 0 Switzerland ,bankrupt,negative
157, gomibakoheart 1 ,NONE,neutral
158,"RT ManishaKrishnan this story out of edmonton started bad and has gotten much worse. school board accuses Black student of gang ties, the ","bad,accuses",negative
159, monsieur canada Seeing Soren's arch finish was some good stuff.,good,positive
160, fortnite Ps4 Controller Fortnite Royale Bomber Bundle Sale USA CANADA REGION DM for Pricing Not Going Cheap ,cheap,negative
161,"RT sxdoc Trump Slams Canada's 'Two Faced' Trudeau over Hot Mic Video at NATO Summit Trudeau Won t Spend 2 of GDP on Defense, But Expect ","trump,hot,won",positive
162,"Ajudem,qual mestra magnata comprar Alemanha China Canad ",NONE,neutral
163,Image Beatrice Gallan ,NONE,neutral
164,"RT Anthea06274890 Like a clique of ""mean girls"" in High School... gossiping behind another's back. Canada, France, and the UK MUST BE SO ",NONE,neutral
165, RealSaavedra What are Canadians thinking...This guy is a Buffon...Wake up Canada ,NONE,neutral
166,ok canada or germany ,NONE,neutral
167," biggianthead Canardiain tomjgalloway14 rideIONrt I agree, I disagree that there should be a speed restriction. ",disagree,negative
168," ignatzio Oh geez Pete, you probably had better. The short version is that Jian was basically MeToo for Canada.",NONE,neutral
169,"RT WorldWidePics Old Quebec City, Canada ",NONE,neutral
170,RT TrueNorthCentre Justin Trudeau has had a colossally bad week at the NATO summit in the United Kingdom. Trudeau didn t know how much C ,bad,negative
171,RT MrDash109 Canada's conservative Reform Party's despise public education amp teachers. So they push for home skoolin etc so Maw amp Paw Ke ,"conservative,despise",negative
172,"RT WhiteHouse Canada, European NATO countries added 130B in defense spending since 2016 Britain, Poland, Estonia, Latvia, Lithuani ",NONE,neutral
173,RT MmeBrooking Today LEOKinderB had a Google Hangout with Canada Post letter carrier Derek in North Bay not quite the North Pole but a ,NONE,neutral
174,RT hariateofim2 Giovannafc07 Canad Giovanna chaves,NONE,neutral
175,RT grumpy grannie Perhaps theJagmeetSingh should watch this. This is the former US Ambassador to Canada putting this faux scandal in its ,"grumpy,scandal",negative
176,ssben q yo no entiendo xq finn no vino a argentina dale flaco q te cuesta trolo de mierda hijo de re mil puta n ,NONE,neutral
177,"RT axel10691 INTEGRITYBC globeandmail Get communist China out of Canada this is how stupid we have become climate hoax,united nation ",stupid,negative
178,RT capital exp Piano in the spotlight of a magical setting That would surely please the great Oscar Peterson. Come jazz it up at the C ,"magical,great",positive
179,The gap between Canada's highest and lowest earners is just too large to justify. Save cavernous chasms for sightse ,NONE,neutral
180,RT jodyRcarr Both international research and our own research tells us that suspending and streaming students can serve as barriers to f ,NONE,neutral
181,RT WaVv ConvergX We are honoured to announce our partnership with saltcontrol in supporting their expansion within the North American ma ,supporting,positive
182,RT marvelwomxn ,NONE,neutral
183,,NONE,neutral
184,"RT ezralevant Just like at the G7 meeting last year, Justin Trudeau was meek and obedient to Donald Trump when they were face to face. Bu ","like,trump",positive
185,,NONE,neutral
186,RT andrewgeorge54 piersmorgan rexglacer realDonaldTrump Trump may be rude but Trudeau is just dumb. He is getting a reputation as a na ,"trump,reputation",positive
187,RT TrueNorthCentre Justin Trudeau has had a colossally bad week at the NATO summit in the United Kingdom. Trudeau didn t know how much C ,bad,negative
188,"Les entreprises qui exportent sont plus r silientes, se d veloppent plus rapidement et cr ent plus d'emplois de qua ",NONE,neutral
189,RT xxxBJFrazier NGDAverk Chrissy Clarke ElaineBrandon Holly H H LailaDoncaster Blame Canada chipmunkofpower spendharkar joanne ,blame,negative
190,RT WhiteHouse President realDonaldTrump just met with Prime Minister JustinTrudeau of Canada. ,NONE,neutral
191,RT thecoptician Copts Copts in the states in Canada ,NONE,neutral
192,RT gaynthey LGBTQ SELFIE THREAD POST YOUR SELFIES VIDEOS BELOW MAKE FRIENDS OR FIND A BOO ,NONE,neutral
193,"RT DilawriAuto You could WIN a 250 Amazon gift card from Dilawri, Canada's largest automotive group To enter Follow Dilawri on Twit ",win,positive
194,"RT TrueNorthCentre Currently, Huawei has extensive research relationships with Canadian post secondary institutions. And now the Chinese ",NONE,neutral
195,"RT MgrPlant subvoyeur Shame on you theJagmeetSingh . You are siding with a guy who wants to become a dictator, who is about to destroy ","shame,destroy",negative
196,RT 1GaryBernstein MAGABUSMUSTS 628 Boycott Two Faced Justin Trudeau And Canada RL9631 JulieReichwein1 SealeyGerald JordynTrump1 s ,boycott,negative
197,RT YvonneJJones Proud to see Ethel Blondin Andrew Honoured with McLeans Lifetime Achievement Award as the first Indigenous women elected ,"proud,achievement,award",positive
198,"RT NoticiasCaracol C maras captan a mandatarios de Reino Unido, Canad , Francia y Holanda burl ndose de Donald Trump ",trump,positive
199, KariVillagran Y todav a mas la de The Maritimes Atlantic Canada ,NONE,neutral
200,RT IraLechner Independent davidfrum Trump doesn t understand that Canada spend 1 to 2 of their budget on their own military according ,trump,positive
201, ,NONE,neutral
202,"Because he's a Trump University kind of guy, not a constitutional education kind of guy. ",trump,positive
203,RT AugustanaSD Pr. Paul Rohde is retiring at the end of January after serving AugieChapel for more than 18 years. A blessing was held wi ,blessing,positive
204,"RT DSOKELLY1 Wow is PamelaKarlan a bitter angry woman....and she is prostituting herself in front of her students, her university and th ","bitter,angry",negative
205,RT HinspergerJames Thankful to receive an offer to play for Stanford University Thank you Coach Diron for coming up to Blair today. gb ,"thankful,thank",positive
206,"RT djakesdesigns Very interesting design focus at the University of Virginia read ""New Contemplative Commons will Enable Collaboration, ",interesting,positive
207,RT theBicyKyle I was hazed by Minister Stephen Lecce while I was pledging Sigma Chi at Western University and he was not only fraternity ,NONE,neutral
208, WestWingReport A lot of people think if a person wants to attend a college or university they should attend somewh ,NONE,neutral
209, GCtheNorthKing Yeah I thought that was so bizarre and condescending... like really you can still be well informed ,"like,well",positive
210,RT feelmybeard Especially on the campus of Bethune Cookman University ,NONE,neutral
211,RT TwelveRecruits Congratulations to 2022 grad Ryland Urbancyzk on your commitment to Rice University rylo 5 RiceBaseball Twelve2022 ,"congratulations,commitment",positive
212,RT rantyben To the university staff adamantine in their opposition who quite rightly find it morally contestable and academically unac ,NONE,neutral
213,RT sxdoc Senate Confirms 49 44 Pro Life Trump Nominee Sarah Pitlyk as Federal Judge Pitlyk served as law clerk to Judge Brett Kavanaugh ,trump,positive
214,"RT mudwaterclimate UK University income is higher than ever, but staff pay is falling in real terms and USS pension contributions rising ",falling,negative
215,"Linen Postcard, Purdue University, Lafayette, Indiana, Fowler by lotsofpostcards via Etsy",NONE,neutral
216,"Yeh kainsa Uttar Pradesh where in girls hostel of University parents permission is not necessary,Girl child is al ",NONE,neutral
217,"We have rescheduled the MC Raptors basketball vs WVA Potomac State College games for tomorrow, Nov. 5 at Washingto ",NONE,neutral
218,"RT LionsDen45 Speaking during a House Judiciary Committee hearing Wednesday morning, George Washington University Law Professor Jonathan ",NONE,neutral
219,BYU Baby Yoda University,NONE,neutral
220,"RT RealDeanCain Stanford, Harvard, and University of North Carolina not looking so good today... ImpeachmentInquiry",good,positive
221,"RT richardbranson To me, the best education is the one that helps us find and grow our talents in a way that fills us with joy. That s wh ","best,talents",positive
222,RT BlockClubCHI The University of Illinois at Chicago has increased security on campus following the brutal murder of a student. ,"brutal,murder",negative
223,"RT NadineDorries A group of ladies visiting Cranfield university, stopped to peruse an anxient Greek map on the university wall. I wish ",NONE,neutral
224,"RT WestWingReport Yes, because who wants to attend a world class university ",NONE,neutral
225,RT NBCNews Harvard University s denial of tenure to the only Latina professor on track for the status sparks student protests and calls f ,"denial,protests",negative
226,RT sethscott2 Blessed to receive my first Division 1 offer from Mississippi Valley State University AGTG ,NONE,neutral
227,"RT daniecal During the Popeyes chicken craze discourse so many ppl incorrectly said blk ppl don t patronize blk businesses similarly, whi ","craze,incorrectly,patronize",negative
228, atrupar He must prefer Trump University....,"prefer,trump",positive
229,RT kenziedb11 So excited to announce that I will be continuing my education and softball career at Missouri State University So thankful ,"excited,thankful",positive
230,RT iam CharlesM3 Blessed To Receive An Offer From Nebraksa University GoHuskers TBTurner813 destiny01xx HuskerFBNation TeamTampa ,NONE,neutral
231,"RT jennfranconews George Washington University Law School Prof. Jonathan Turley ""This would be the first impeachment in history where t ",NONE,neutral
232,RT t2live5 Thankful to receive a basketball scholarship offer from the University of Georgia GoDawgs UGA WBB ,thankful,positive
233,RT ikeeyah Last year I went on 5 holidays and next year I plan on going on 10 I afforded it all on a part time wage whilst still on uni ,NONE,neutral
234,RT dkdk459 BryonnyM RepMarkMeadows TheRISEofROD Yes i will ... time to email the university and her department and that nerd Feldman n ,NONE,neutral
235,RT TrilogyTriangle University of Colorado Boulder Stop using live animal mascots at sporting events via Change,NONE,neutral
236,RT shackelford3 Excited to announce I ve received my 2nd offer from Aurora University GoSpartans ,excited,positive
237,It takes a lot of professionals to run a university...not just faculty ,NONE,neutral
238,RT tylermorris2503 Blessed to have receive an offer from the university of Nebraska AllenTrieu rivalsmike EDGYTIM HuskerFBNation ,NONE,neutral
239,RT sxdoc Senate Confirms 49 44 Pro Life Trump Nominee Sarah Pitlyk as Federal Judge Pitlyk served as law clerk to Judge Brett Kavanaugh ,trump,positive
240, LoLDeadly HaisaiEmma Let s put it this way. He s a graduate student in university. Yet he can go to Geneva to giv ,NONE,neutral
241,RT sxdoc Senate Confirms 49 44 Pro Life Trump Nominee Sarah Pitlyk as Federal Judge Pitlyk served as law clerk to Judge Brett Kavanaugh ,trump,positive
242,RT Natalie2Portman LAW EDUCATION MEDICAL MORE Leading Professionals to help you OUR EXPERIENCE Bachelor Juris Doctor BA BS Arts Science ,NONE,neutral
243,I see a long thread....What was the question for What is Clemson University ,NONE,neutral
244,COLLEGE SIGNINGS Sheehan s Dubuc makes it official with D II Tampa ,NONE,neutral
245,"Research Assistant Professor Wellbeing , Hong Kong Baptist University Kowloon, Hong Kong, China Initial appointm ",wellbeing,positive
246,"RT PeytonMcNutt12 God has been so good to me in my football career I wanna thank my Family, Coaches, Teammates, and God for this opportu ","good,thank",positive
247," portuga19641 ultrabrasileiro Adrieli S folha Melhorou. Das dez melhores universidades da AL, 8 s o do Brasil, s ",NONE,neutral
248,"RT jamesbhawkins Howard on Louisville loss ""This builds character. It s the best way to learn. Sometimes we get punched in the mouth. Ou ",NONE,neutral
249,RT Ali7848Am I m very thankful and happy to say I have received my 3rd D1 offer from Northern Arizona University. Thank you E Thompson92 ,"thankful,happy,thank",positive
250,RT IUSBWBB TITANS WIN IU South Bend continues the incredible start to their season with another conference win over Saint Ambrose Univ ,"win,incredible,saint",positive
251,RT bigmacmcneely If anyone would like to call George Washington University and ask for Jonathan Turley termination call 202 994 1010 and ,like,positive
252,"RT WarmongerHodges bbcnickrobinson To paraphrase Noam Chomsky, if Nick Robinson hadn't been President of the Oxford University Conservat ",NONE,neutral
